Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
8048736 | 31 | e031
8048738 | 5e | 805e
8048739 | 89 | e089
804873b | 83 | e083
804873e | 50 | 5050
804873f | 54 | 5054
8048740 | 52 | 6052
8048741 | 68 | 1068
8048746 | 68 | 7068
804874b | 51 | 5051
804874c | 56 | 6056
804874d | 68 | 9068
8048752 | e8 | 40e8
80490a0 | 83 | e083
80490a3 | e8 | 10e8
8048bc0 | 55 | 5055
8048bc1 | 57 | 3057
8048bc2 | 31 | c031
8048bc4 | 56 | 5056
8048bc5 | 53 | 53
8048bc6 | f | a00f
8048bce | 81 | f081
8048bd4 | a3 | 60a3
8048bd9 | f | 900f
8048bdc | 81 | f081
8048be2 | 89 | d089
8048be4 | 89 | c089
8048be6 | f | 900f
8048be9 | c7 | 40c7
8048bf1 | 89 | f089
8048bf3 | c7 | 40c7
8048bfb | c7 | 40c7
8048c03 | 84 | c084
8048c05 | 74 | 74
8048c07 | 81 | f081
8048c0d | f | 800f
8048e6b | 8d | 408d
8048e6f | 50 | 8050
8048e70 | 8d | 808d
8048e77 | 8d | 508d
8048e7b | 8d | 408d
8048e7f | e8 | c0e8
8048b50 | 55 | 8055
8048b51 | 89 | c089
8048b53 | 57 | 8057
8048b54 | 89 | d089
8048b56 | 56 | 8056
8048b57 | 89 | c089
8048b59 | 53 | b053
8048b5a | b8 | b8
8048b5f | f | a00f
8048b67 | 89 | c089
8048b69 | 89 | 1089
8048b6f | c1 | e0c1
8048b72 | 89 | 89
8048b78 | a3 | 60a3
8048b7d | 83 | e083
8048b80 | 89 | 1089
8048b82 | 89 | c089
8048b84 | c1 | e0c1
8048b87 | 83 | e083
8048b8a | 89 | 1089
8048b8c | 89 | c089
8048b8e | c1 | e0c1
8048b91 | 81 | e081
8048b97 | 89 | 5089
8048b9a | 83 | 3083
8048b9d | 75 | 1075
8048bb1 | 8b | 508b
8048bb5 | 83 | e083
8048bb8 | 89 | 89
8048bba | 5b | 505b
8048bbb | 5e | 505e
8048bbc | 5f | 505f
8048bbd | 5d | c05d
8048bbe | c3 | 90c3
8048e84 | 59 | 8059
8048e85 | 83 | 7083
8048e8a | 8b | 308b
8048e90 | f | 800f
8048f7d | 8b | 808b
8048f84 | 3 | 4003
8048f88 | 83 | f083
8048f8b | 89 | 4089
8048f8f | f | 800f
8049029 | 83 | f083
804902c | 74 | 5074
804902e | 76 | 5076
8049030 | 83 | f083
8049033 | 74 | 5074
8049035 | 83 | f083
8049038 | 74 | 5074
804903a | 83 | f083
804903d | 75 | 2075
804906b | f7 | c0f7
8049071 | f | 800f
8049077 | 83 | 83
804907e | e9 | 10e9
8048e96 | 8b | 408b
8048e9a | c7 | 40c7
8048ea2 | 89 | 4089
8048ea6 | e9 | a0e9
8048c4b | a1 | 70a1
8048c50 | f6 | c0f6
8048c53 | 74 | 74
8048c55 | 81 | 81
8048c5f | f6 | c0f6
8048c62 | 74 | 74
8048c64 | 81 | 81
8048c6e | 83 | 3083
8048c75 | 7e | 207e
8048c77 | b8 | b8
8048c7c | 31 | c031
8048c7e | f | a00f
8048c85 | 89 | 1089
8048c8b | 89 | 89
8048c91 | 89 | 1089
8048c97 | f7 | c0f7
8048c9d | 74 | 1074
8048c9f | 31 | c031
8048ca1 | f | f
8048ca4 | 89 | c089
8048ca6 | 83 | e083
8048ca9 | 83 | f083
8048cac | f | 800f
8048e09 | f7 | c0f7
8048e0f | 74 | 74
8048e11 | 83 | 83
8048e18 | 8b | 108b
8048e1e | f6 | c0f6
8048e21 | 74 | 74
8048e23 | 81 | 81
8048e2d | 25 | e025
8048e32 | 3d | e03d
8048e37 | f | 800f
8048e3d | 81 | e081
8048e43 | 74 | 74
8048e4f | f6 | f6
8048e56 | f | 800f
8048cb2 | 83 | 3083
8048cb9 | 7f | 307f
8048cec | be | be
8048cf1 | 31 | c031
8048cf3 | 89 | f089
8048cf5 | f | a00f
8048cf9 | 74 | c074
8048cfb | 83 | c083
8048cfe | 89 | f089
8048d00 | b9 | b9
8048d05 | 83 | e083
8048d08 | 89 | 1089
8048d0e | f | a00f
8048d12 | 74 | a074
8048cbb | 83 | 7083
